system:time_start,NBR
"Jan 1, 1986",0.658
"Jan 1, 1987",0.679
"Jan 1, 1988",0.676
"Jan 1, 1989",0.648
"Jan 1, 1990",0.643
"Jan 1, 1991",0.678
"Jan 1, 1992",0.665
"Jan 1, 1993",0.663
"Jan 1, 1994",0.678
"Jan 1, 1995",0.625
"Jan 1, 1996",0.673
"Jan 1, 1997",0.621
"Jan 1, 1998",0.651
"Jan 1, 1999",0.685
"Jan 1, 2000",0.654
"Jan 1, 2001",0.66
"Jan 1, 2002",0.642
"Jan 1, 2003",0.609
"Jan 1, 2004",0.653
"Jan 1, 2005",0.654
"Jan 1, 2006",0.659
"Jan 1, 2007",0.603
"Jan 1, 2008",0.639
"Jan 1, 2009",0.654
"Jan 1, 2010",0.62
"Jan 1, 2011",0.63
"Jan 1, 2012",0.628
"Jan 1, 2013",0.661
"Jan 1, 2014",0.617
"Jan 1, 2015",0.632
"Jan 1, 2016",0.662
"Jan 1, 2017",0.646
"Jan 1, 2018",0.644
"Jan 1, 2019",0.636
"Jan 1, 2020",0.651
"Jan 1, 2021",0.653
"Jan 1, 2022",0.66
"Jan 1, 2023",0.656
"Jan 1, 2024",0.639
"Jan 1, 2025",0.661
